                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2014


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -0.9    3.4  11:05   -4.3  23:35   19.2    0.0    3.3    2.7   32.2  19:45    115
 02   -3.4    4.4  12:20   -9.7  05:20   21.7    0.0    1.0    1.1   16.1  13:40    342
 03   -2.3    2.9  16:35   -7.1  04:00   20.6    0.0    0.3    0.9   14.5  12:40     95
 04   -1.8    6.3  12:20   -9.0  03:45   20.1    0.0    0.0    0.7   16.1  20:30      7
 05   -2.6    2.2  11:25   -7.6  00:00   21.0    0.0    4.6    1.0   16.1  14:15    143
 06   -2.7    8.8  13:35  -12.9  06:50   21.0    0.0    0.0    0.4   11.3  10:45    263
 07   -1.7    2.0  10:00   -5.6  00:00   20.1    0.0    2.0    0.5   12.9  17:35    129
 08   -6.3    0.8  13:45  -12.4  06:45   24.7    0.0    8.1    0.3    6.4  07:15    302
 09   -5.1    4.8  16:50  -15.3  07:25   23.5    0.0    1.3    0.2    6.4  11:05    332
 10   -0.3    8.7  13:37  -10.7  06:12   18.6    0.0    0.0    0.9   20.9  14:51     35
 11   -3.6    4.6  00:44  -13.9  23:59   21.9    0.0    1.5    2.9   29.0  01:10    146
 12  -10.9   -1.3  16:07  -20.4  05:36   29.3    0.0    0.3    0.1    9.7  06:13    183
 13   -6.3    4.2  15:46  -17.6  07:38   24.6    0.0    0.0    1.0   20.9  15:13     60
 14   -2.5    5.6  15:34  -12.9  07:28   20.8    0.0    0.0    0.5   11.3  16:58    287
 15   -4.2   -0.7  16:33   -7.3  23:59   22.5    0.0    0.0    2.6   22.5  10:06    100
 16   -3.9    4.0  15:15  -12.4  07:08   22.3    0.0    0.3    0.9   22.5  16:04    104
 17   -1.0    8.6  13:50   -8.3  23:59   19.3    0.0    0.0    2.5   32.2  16:35    116
 18   -6.6   -1.3  15:01  -10.9  23:56   24.9    0.0    0.3    1.6   19.3  13:07     24
 19   -7.1    0.5  14:29  -15.6  07:08   25.5    0.0    0.0    0.9   14.5  13:45    357
 20   -2.3    5.7  16:24  -11.2  06:59   20.6    0.0    0.0    1.4   25.7  13:06     97
 21   -1.1    7.5  15:41  -12.2  07:31   19.4    0.0    0.0    0.9   22.5  13:27    153
 22   -3.0    0.5  00:27  -12.4  23:59   21.3    0.0    1.3    1.2   14.5  05:32    152
 23   -6.9    4.0  16:28  -19.1  07:08   25.2    0.0    2.3    1.7   29.0  20:17    103
 24   -1.4    3.7  16:05   -7.9  06:02   19.7    0.0    0.0    3.0   33.8  08:10     71
 25    0.9    8.8  16:27   -8.5  07:18   17.5    0.0    0.0    0.8    9.7  02:59    349
 26   -1.3    8.5  13:49   -9.2  07:18   19.6    0.0    0.0    1.3   24.1  14:42     93
 27   -2.3    2.3  13:53   -6.1  23:47   20.7    0.0    1.0    2.7   27.4  04:02    107
 28   -3.9    0.4  16:31   -8.9  23:56   22.3    0.0    3.0    2.2   24.1  12:14     91
 29   -3.3    6.8  16:16  -15.1  07:07   21.6    0.0    0.0    1.1   17.7  14:05     27
 30    1.7   11.3  14:55   -4.5  07:06   16.7    0.0    0.0    1.8   24.1  17:41    155
 31   -2.4    1.9  15:04   -6.2  07:25   20.8    0.0    3.8    2.4   27.4  09:30     82
---------------------------------------------------------------------------------------
      -3.2   11.3     30  -20.4     12  666.8    0.0   34.3    1.4   33.8     24     94
    
