                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2012


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    8.9   17.1  15:29    0.7  07:49    9.5    0.0    0.0    1.3   17.7  15:31    308
 02    8.4   19.8  14:51   -2.7  07:19    9.9    0.0    0.0    1.4   19.3  11:50    157
 03    9.3   20.2  13:47   -1.8  06:41    9.1    0.0    0.0    2.1   35.4  13:27     82
 04    7.3   17.8  13:15   -1.8  04:52   11.0    0.0    0.0    1.9   20.9  13:29    103
 05    5.9   11.6  14:03   -0.1  07:33   12.4    0.0    0.0    2.4   22.5  02:10      7
 06    1.0    5.8  15:47   -4.9  23:49   17.3    0.0    0.0    2.3   24.1  13:54    262
 07   -1.2    8.2  16:03  -11.6  07:20   19.5    0.0    0.0    1.8   22.5  13:57    132
 08    2.4   14.1  14:50  -10.4  07:30   16.0    0.0    0.0    2.1   27.4  15:33     69
 09    7.5   15.1  13:02   -0.3  06:47   10.9    0.0    0.0    2.8   30.6  15:07     18
 10    5.1   17.4  15:40   -5.8  07:15   13.2    0.0    0.0    1.4   24.1  12:51     58
 11    8.2   18.9  14:04   -3.4  07:15   10.1    0.0    0.0    4.0   33.8  20:20    127
 12    5.4   13.4  12:40   -0.3  07:20   13.0    0.0    4.6    1.4   14.5  15:14     27
 13    1.5    4.4  15:23   -0.6  06:55   16.8    0.0    3.8    0.7   24.1  00:07     74
 14    4.6   10.5  15:38   -1.1  23:48   13.8    0.0    0.0    1.1   14.5  10:42    182
 15    4.2   14.7  15:15   -4.4  07:23   14.2    0.0    0.3    1.4   24.1  15:38     80
 16    6.5   15.3  15:01   -2.2  07:17   11.8    0.0    1.5    3.3   35.4  15:50     97
 17    0.5    3.8  15:21   -3.6  08:19   17.8    0.0    0.0    5.5   29.0  13:20     67
 18    1.4    8.4  15:13   -4.7  06:02   16.9    0.0    0.0    2.5   25.7  13:20     71
 19    2.8   14.2  15:15   -7.6  07:10   15.5    0.0    0.0    1.6   24.1  14:50     35
 20    7.3   18.1  14:27   -2.7  08:32   11.1    0.0    0.0    2.0   27.4  12:30     87
 21    6.0   16.7  14:07   -4.1  07:09   12.4    0.0    0.0    1.3   20.9  14:40    357
 22    5.3   16.4  15:01   -3.9  07:21   13.0    0.0    0.0    1.6   17.7  16:30     97
 23    8.9   15.5  14:47    3.4  00:58    9.4    0.0    0.0    2.6   43.5  08:50    109
 24    3.2   12.9  10:42   -5.3  22:56   15.1    0.0    0.0    2.1   29.0  12:34    162
 25   -4.8   -0.3  15:11   -7.8  08:52   23.1    0.0    1.8    1.5   14.5  02:33    122
 26   -6.7   -2.2  11:19  -11.6  07:58   25.0    0.0    0.3    1.0   14.5  13:18    210
 27   -3.2    2.3  16:08   -8.7  00:00   21.6    0.0    0.0    1.7   22.5  12:00     69
 28    2.1    8.2  15:20   -1.6  00:16   16.3    0.0    3.0    1.1   12.9  12:47     23
 29    4.4   11.9  15:37   -1.7  08:35   14.0    0.0    0.8    1.0   17.7  14:20    140
 30    2.9   12.1  14:35   -5.0  07:11   15.5    0.0    0.0    1.1   16.1  13:01    153
 31    2.7   12.8  15:00   -5.9  07:18   15.7    0.0    0.0    0.7    9.7  13:04    290
---------------------------------------------------------------------------------------
       3.8   20.2     03  -11.6     07  450.6    0.0   16.0    1.9   43.5     23     82
    
