                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2013


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   14.7   25.0  14:51    7.3  04:43    3.7    0.0    0.0    2.5   29.0  16:47    103
 02   17.3   27.1  13:51    8.2  06:45    1.0    0.0    0.0    2.8   27.4  18:11    123
 03   17.7   27.3  13:59    6.9  06:41    0.6    0.0    0.0    1.4   19.3  12:20     16
 04   16.7   28.3  13:24    9.1  05:29    1.6    0.0    0.0    2.5   32.2  14:17     96
 05   15.7   26.9  13:25    7.6  06:20    2.6    0.0    0.0    1.6   22.5  15:40    112
 06   15.9   26.2  13:08    7.5  06:50    2.4    0.0    0.3    2.6   43.5  15:50    124
 07   14.9   25.9  12:35    6.2  06:22    3.4    0.0    0.8    1.9   24.1  13:47    138
 08   12.6   23.8  13:03    5.1  06:57    5.7    0.0   10.7    1.6   27.4  14:38    166
 09   12.3   20.2  12:31    6.9  06:58    6.1    0.0    9.7    1.3   29.0  17:08    138
 10   12.8   18.9  13:59    8.7  07:08    5.6    0.0    4.1    6.0   43.5  15:01    118
 11   12.9   18.2  15:21    9.8  04:10    5.4    0.0    2.8    2.3   20.9  16:33    120
 12   13.0   19.1  13:01    9.3  06:08    5.3    0.0    3.8    3.9   32.2  16:30    115
 13   12.5   18.4  14:13    7.4  00:00    5.9    0.0    5.3    0.7   14.5  16:35     16
 14   10.8   17.7  13:19    5.4  05:39    7.5    0.0    0.3    2.8   27.4  16:10    132
 15    9.5   15.6  15:13    5.9  06:28    8.8    0.0    0.3    3.5   30.6  12:38    118
 16   10.1   19.3  14:59    4.1  07:22    8.2    0.0    0.0    1.1   24.1  13:29     84
 17   11.8   22.2  14:11    2.7  07:04    6.5    0.0    0.0    1.2   16.1  13:21    336
 18    9.5   17.3  13:35    5.3  03:02    8.8    0.0    4.3    2.6   49.9  16:01    111
 19    8.5   15.5  15:09    1.5  00:00    9.8    0.0    1.8    1.6   19.3  05:42    272
 20    7.2   19.0  15:07   -4.0  06:53   11.2    0.0    0.0    1.0   14.5  12:44      8
 21   10.0   21.2  13:56   -1.4  07:15    8.3    0.0    0.0    1.6   19.3  12:43    290
 22    6.1   14.4  14:40    2.9  05:00   12.2    0.0   11.9    1.8   22.5  15:26    182
 23    4.0    9.6  16:13   -0.3  00:00   14.3    0.0    2.8    2.3   35.4  10:07    105
 24    5.3   17.3  16:06   -3.9  06:46   13.0    0.0    0.3    1.0   16.1  13:21     35
 25    8.7   21.3  14:15   -3.2  07:02    9.6    0.0    0.0    1.7   24.1  14:39    348
 26   10.6   21.7  15:17   -0.4  07:16    7.8    0.0    0.0    1.5   33.8  15:05    326
 27    2.0   10.6  00:00   -2.4  22:06   16.3    0.0    7.9    1.2   14.5  00:03     96
 28    2.7   10.5  16:07   -4.1  07:18   15.6    0.0    1.5    1.2   17.7  11:48     76
 29    5.3   15.4  14:33   -4.4  05:51   13.0    0.0    0.0    1.5   22.5  13:55     76
 30    9.1   19.4  14:53   -1.1  07:02    9.3    0.0    0.0    1.7   24.1  15:03     98
---------------------------------------------------------------------------------------
      10.7   28.3     04   -4.4     29  229.6    0.0   68.3    2.0   49.9     18    113
    
