                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2013


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -2.0    1.4  12:27   -7.1  23:59   20.4    0.0    0.0    3.1   25.7  12:56     90
 02   -3.6    6.8  16:38  -11.7  07:48   21.9    0.0    0.8    0.6    8.0  12:14     63
 03   -1.9    9.1  12:13   -8.9  07:02   20.2    0.0    0.3    1.9   25.7  18:38    111
 04   -3.9    2.9  14:21  -12.5  07:06   22.3    0.0    0.8    0.5   11.3  23:59    331
 05   -7.9   -3.1  11:38  -14.8  22:57   26.2    0.0    0.0    1.5   24.1  09:30    169
 06   -7.3   -1.1  15:37  -15.2  00:46   25.6    0.0    0.0    1.4   32.2  16:10    106
 07   -0.6    6.1  15:24   -9.3  06:35   19.0    0.0    0.8    1.0   16.1  13:03     46
 08    3.1    9.2  12:33   -4.3  02:21   15.3    0.0    0.0    2.9   29.0  10:10    105
 09    0.3    9.4  13:00   -6.8  06:53   18.1    0.0    0.0    0.6   14.5  13:10     18
 10   -0.0   10.5  13:15   -8.6  06:49   18.4    0.0    0.0    0.7   11.3  13:15     37
 11   -0.2    9.9  13:33   -8.4  07:15   18.5    0.0    0.0    0.7   14.5  12:31    180
 12   -0.3    9.6  13:51   -8.0  06:19   18.6    0.0    0.0    0.4   14.5  12:12    323
 13   -1.1    9.2  13:21  -10.8  06:09   19.4    0.0    0.0    0.4    6.4  10:24     53
 14    0.6    5.7  13:35   -6.1  23:37   17.8    0.0    0.0    1.1   14.5  02:17    255
 15   -1.7    8.9  12:51   -9.4  06:33   20.1    0.0    0.0    1.3   27.4  12:58    110
 16   -2.1    3.0  11:16   -4.8  23:03   20.5    0.0    1.0    2.9   27.4  08:07     63
 17   -3.4    0.9  14:30   -7.3  05:07   21.8    0.0    0.0    2.9   32.2  05:10     49
 18   -4.2    4.1  13:23  -11.8  07:08   22.6    0.0    1.0    0.4    8.0  09:33    286
 19   -3.9    5.6  13:00  -13.4  07:18   22.2    0.0    0.5    1.0   17.7  12:45     50
 20    0.4    4.4  10:50   -2.1  23:59   17.9    0.0    0.5    0.7   11.3  02:07    116
 21   -2.5    2.7  12:12  -10.2  23:44   20.9    0.0    1.3    0.8   12.9  19:23     27
 22   -6.9   -2.1  19:22  -11.6  06:27   25.3    0.0    0.0    1.4   20.9  18:51    117
 23   -3.4    2.6  13:34   -6.7  04:03   21.8    0.0    2.0    0.3   12.9  00:06    334
 24   -3.2   -0.4  14:26   -5.6  01:25   21.5    0.0    0.0    0.2    8.0  04:30    261
 25   -4.6    1.1  14:28  -10.3  04:28   22.9    0.0    0.3    0.2    8.0  05:51    294
 26   -5.0    1.8  13:20  -10.6  07:20   23.4    0.0    0.3    0.6   11.3  14:16    174
 27   -7.1    1.8  14:30  -14.9  06:55   25.5    0.0    0.0    0.2    8.0  11:07     89
 28   -5.8    3.7  14:09  -12.9  05:55   24.1    0.0    0.3    0.1    6.4  11:40    306
 29   -5.2    3.7  13:57  -12.0  04:37   23.5    0.0    0.3    0.5    9.7  12:16     37
 30   -6.3    2.2  13:09  -13.8  07:19   24.6    0.0    0.0    0.5    8.0  12:19     93
---------------------------------------------------------------------------------------
      -3.0   10.5     10  -15.2     06  639.9    0.0    9.9    1.0   32.2     06     82
    
