                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2014


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -6.4   -4.1  03:46   -9.8  19:17   24.7    0.0    0.0    3.3   32.2  12:11    107
 02   -9.8   -4.4  20:05  -18.4  07:49   28.2    0.0    0.0    0.3   14.5  18:31    217
 03   -6.1    0.6  14:21  -15.7  08:12   24.5    0.0    0.0    1.6   22.5  21:03     89
 04   -9.0   -0.8  01:05  -15.7  20:56   27.4    0.0    0.0    1.4   17.7  05:08    115
 05  -15.5  -13.2  12:47  -16.9  16:11   33.8    0.0    0.0    3.7   32.2  13:51     96
 06  -13.4   -7.1  15:25  -19.1  23:59   31.7    0.0    0.0    1.2   22.5  01:09     61
 07  -13.4   -4.6  15:31  -22.8  07:13   31.8    0.0    0.0    0.2    9.7  13:15     21
 08   -5.4   -1.6  14:08   -7.6  22:33   23.8    0.0    0.3    0.3    6.4  03:36     39
 09   -5.9   -0.7  11:34  -10.1  23:59   24.2    0.0    0.5    1.4   29.0  21:22     72
 10   -8.9   -6.2  23:57  -12.3  06:24   27.2    0.0    0.0    4.4   41.8  14:28     84
 11   -2.4    2.2  11:03   -6.3  00:09   20.8    0.0    0.8    1.4   29.0  23:22     76
 12   -6.4   -0.1  03:20  -10.8  23:49   24.7    0.0    0.0    3.6   25.7  14:28    112
 13   -7.6   -4.6  11:45  -10.8  00:00   26.0    0.0    0.0    2.6   24.1  21:24     72
 14   -5.9   -4.9  21:35   -7.3  07:13   24.3    0.0    0.0    4.5   29.0  00:20     89
 15   -5.0   -0.4  12:36   -9.2  23:46   23.3    0.0    1.8    1.1   19.3  14:42    159
 16   -6.7   -1.5  11:23  -12.4  02:23   25.0    0.0    0.3    1.8   22.5  15:14    142
 17   -9.2   -1.4  14:30  -16.7  07:49   27.5    0.0    0.0    0.3   12.9  03:06    238
 18  -12.0   -5.1  14:38  -18.8  06:14   30.3    0.0    0.0    0.2    6.4  06:09    158
 19  -12.1   -3.4  15:55  -20.1  07:02   30.4    0.0    0.0    0.3    9.7  11:54    304
 20   -9.5    0.6  13:08  -17.7  05:07   27.8    0.0    0.0    0.5   19.3  11:24    236
 21  -12.7   -0.9  14:40  -21.7  07:37   31.1    0.0    0.0    0.3   14.5  15:40    327
 22  -13.4   -6.4  15:15  -21.1  07:26   31.7    0.0    0.0    0.1    8.0  21:31     33
 23  -11.3   -6.5  09:55  -20.1  23:59   29.7    0.0    0.0    0.3   11.3  05:48      5
 24  -16.3   -8.1  14:52  -24.1  05:22   34.7    0.0    0.0    0.2    6.4  11:06     69
 25  -11.6   -3.9  15:47  -19.8  07:48   30.0    0.0    0.0    0.2    9.7  08:08    247
 26   -7.2    1.8  12:00  -17.0  06:51   25.5    0.0    0.3    1.3   16.1  13:50     59
 27   -7.4   -4.2  00:04  -15.1  23:59   25.7    0.0    0.0    2.2   20.9  13:04     20
 28  -14.8   -8.2  11:42  -20.8  04:45   33.1    0.0    0.0    0.8   16.1  14:39    142
 29  -11.9    0.6  23:45  -22.0  02:38   30.3    0.0    0.0    0.9   32.2  23:50    103
 30   -4.8    0.4  00:00   -6.4  23:29   23.1    0.0    0.0    2.1   32.2  00:23    105
 31   -6.6   -3.6  11:34   -9.3  23:31   25.0    0.0    0.0    0.0    0.0  00:00     90
---------------------------------------------------------------------------------------
      -9.3    2.2     11  -24.1     24  857.0    0.0    3.8    1.4   41.8     10     95
    
