                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2014


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.9   21.2  15:20    5.1  05:05    5.4    0.0    0.3    2.5   27.4  15:21     91
 02   12.9   22.5  14:50   -0.7  05:37    5.5    0.0    0.0    2.7   45.1  13:00    128
 03   14.2   23.1  12:07    3.1  05:50    4.2    0.0    0.0    2.5   25.7  10:59    109
 04   13.4   23.8  15:47   -0.1  05:47    4.9    0.0    0.0    1.7   27.4  16:35     12
 05   13.0   22.9  13:37    1.3  05:05    5.4    0.0    0.0    1.7   29.0  14:16    296
 06   11.5   23.0  12:52    1.4  05:45    6.8    0.0    0.0    1.8   24.1  15:49    308
 07   13.3   23.1  14:14    0.9  05:50    5.1    0.0    0.0    2.0   22.5  21:04    227
 08    7.4   17.9  10:27    2.2  05:51   10.9    0.0    2.3    1.8   33.8  13:38    127
 09    7.4   16.9  17:03   -2.8  05:05   10.9    0.0    0.3    1.5   16.1  15:12     61
 10   11.2   21.2  12:35   -0.8  05:47    7.1    0.0    0.0    1.6   24.1  12:45     25
 11   13.0   22.9  11:55    6.6  06:15    5.3    0.0    0.8    2.8   30.6  17:00    122
 12   12.3   22.6  14:35    0.7  05:53    6.0    0.0    0.0    1.5   20.9  14:16     22
 13   14.6   23.7  13:41    1.7  05:51    3.8    0.0    0.0    2.1   27.4  12:15     79
 14   11.3   19.0  12:24    3.9  04:37    7.0    0.0    0.0    2.3   25.7  13:14     10
 15    9.9   18.9  14:58   -2.3  05:41    8.5    0.0    0.0    2.5   25.7  13:52    102
 16   12.5   22.4  14:31    0.1  05:50    5.8    0.0    0.0    2.4   29.0  11:45     81
 17   14.6   23.8  14:10    1.9  05:59    3.8    0.0    0.0    2.4   25.7  16:26     14
 18   10.5   19.6  12:27   -0.1  05:49    7.9    0.0    0.0    3.1   30.6  18:21      1
 19   11.4   19.7  16:30    0.4  06:00    6.9    0.0    0.0    2.3   20.9  13:52    306
 20   13.3   23.8  15:27   -1.0  05:57    5.0    0.0    0.0    1.5   22.5  13:27      7
 21   12.7   23.6  12:54    3.8  04:56    5.6    0.0    0.3    1.5   27.4  15:08    106
 22   12.4   21.9  12:52    4.1  06:04    6.0    0.0    0.0    3.2   38.6  14:45    114
 23   12.7   24.2  13:19    2.4  05:50    5.6    0.0    0.0    1.8   22.5  17:21      1
 24   13.8   24.6  15:48    1.6  05:37    4.5    0.0    0.0    1.9   25.7  14:01    339
 25   16.5   26.1  12:44    4.3  05:39    1.8    0.0    0.0    2.2   40.2  21:18    281
 26   16.6   26.7  15:24    3.8  05:36    1.7    0.0    0.0    1.6   19.3  13:04     47
 27   13.3   20.0  14:04    7.5  06:14    5.0    0.0    0.3    2.0   25.7  12:35     67
 28   12.3   20.2  16:01    5.8  04:42    6.1    0.0    1.3    2.1   20.9  11:52     87
 29   15.3   26.7  14:52    1.3  06:02    3.0    0.0    0.0    1.9   24.1  14:11     75
 30   15.8   24.4  14:08    4.0  05:49    2.5    0.0    0.0    2.2   27.4  12:01     38
---------------------------------------------------------------------------------------
      12.7   26.7     26   -2.8     09  168.0    0.0    5.3    2.1   45.1     02     83
    
