                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2013


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -5.3    1.8  14:39  -13.8  06:38   23.6    0.0    0.0    1.6   19.3  14:30     66
 02   -0.1    2.3  15:10   -2.8  03:51   18.4    0.0    0.0    1.8   25.7  16:35    130
 03   -1.4    0.8  00:00   -6.4  23:56   19.8    0.0    0.0    0.8   14.5  11:16    124
 04  -14.9   -6.4  00:00  -23.4  23:58   33.2    0.0    0.0    0.5   16.1  04:39     79
 05  -22.1  -17.4  14:34  -28.5  07:56   40.4    0.0    0.0    0.0    0.0  00:00     90
 06  -20.3  -14.5  14:45  -26.0  03:25   38.6    0.0    0.0    0.0    0.0  00:00     90
 07  -14.2   -9.4  14:42  -21.1  00:28   32.5    0.0    0.0    0.0    0.0  00:00     90
 08  -15.2  -13.0  13:26  -19.2  23:57   33.5    0.0    0.0    0.0    0.0  00:00     90
 09  -18.5  -15.7  14:04  -22.2  20:46   36.8    0.0    0.0    0.0    0.0  00:00     90
 10  -12.1   -8.3  19:44  -19.5  00:03   30.4    0.0    0.0    0.0    0.0  00:00     90
 11   -8.0   18.8  13:05  -19.3  08:02   26.3    0.0    0.5    0.2    8.0  18:14    267
 12  -14.5   -7.3  14:27  -21.3  07:59   32.8    0.0    0.0    0.0    4.8  12:15      6
 13  -12.9   -5.4  15:49  -20.3  07:27   31.3    0.0    0.0    0.7   11.3  11:44    211
 14   -9.4   -5.3  13:04  -13.8  08:45   27.7    0.0    0.0    0.4   11.3  13:41    124
 15   -5.4    0.8  13:37   -9.1  00:21   23.8    0.0    0.0    0.6   12.9  12:59    303
 16   -4.0    3.7  11:45  -10.2  07:32   22.3    0.0    0.0    1.0   14.5  09:12    181
 17   -6.7    1.9  15:10  -13.9  07:49   25.0    0.0    0.0    0.5    9.7  02:37     71
 18   -7.2    2.2  15:13  -15.2  07:33   25.5    0.0    0.0    0.2    9.7  22:55    101
 19   -3.6    3.7  12:58  -10.4  02:41   21.9    0.0    0.0    1.1   20.9  13:38     81
 20   -5.9   -1.7  11:47  -13.3  23:56   24.2    0.0    0.0    0.7   17.7  15:41    146
 21  -10.9   -5.6  13:45  -15.6  04:25   29.2    0.0    0.0    0.4   11.3  17:27    141
 22   -9.3   -5.8  13:40  -12.1  06:13   27.6    0.0    0.0    1.8   20.9  14:36     92
 23   -5.9   -3.2  12:55   -8.6  01:48   24.2    0.0    0.0    2.2   19.3  09:09     69
 24   -6.8   -1.8  10:51  -16.3  23:58   25.2    0.0    0.0    2.1   30.6  16:23    111
 25  -15.9   -9.1  14:00  -21.7  07:57   34.2    0.0    0.0    0.2    6.4  03:52    198
 26  -16.8  -10.2  13:17  -23.6  07:09   35.1    0.0    0.0    0.3    9.7  11:53    250
 27  -13.6   -6.6  14:57  -19.5  07:35   31.9    0.0    0.0    0.1    4.8  06:27     82
 28  -12.4   -8.0  14:43  -18.5  07:41   30.7    0.0    0.0    0.5   14.5  16:30    257
 29   -9.7   -5.2  12:34  -13.8  08:09   28.0    0.0    0.0    0.3    8.0  21:39    152
 30   -7.2   -2.8  14:18  -13.6  23:57   25.5    0.0    0.0    1.0   17.7  11:45    173
 31   -7.2   -2.2  15:17  -13.8  03:10   25.5    0.0    0.0    0.6   16.1  09:02     52
---------------------------------------------------------------------------------------
     -10.0   18.8     11  -28.5     05  885.4    0.0    0.5    0.7   30.6     24    104
    
