                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2013


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    9.8   20.3  13:57   -1.7  07:11    8.5    0.0    0.0    1.1   16.1  12:01    327
 02    9.1   18.9  15:43   -1.7  06:38    9.2    0.0    0.0    4.3   30.6  19:15    127
 03    7.8   18.7  13:46   -1.8  07:09   10.5    0.0    0.0    2.0   40.2  13:30    302
 04   -2.8    1.3  11:31   -6.8  21:20   21.2    0.0    0.8    1.3   16.1  14:40     33
 05   -3.3    3.0  15:26   -6.7  07:03   21.6    0.0    0.0    1.2   19.3  16:48    207
 06   -0.1   10.5  15:50   -9.9  06:22   18.5    0.0    1.5    0.9   11.3  12:18     17
 07    4.9   17.3  15:52   -5.8  07:16   13.4    0.0    0.0    0.9   22.5  15:10     33
 08    6.4   18.1  14:24   -2.5  08:18   11.9    0.0    0.0    1.0   30.6  15:00    339
 09    5.8   14.2  14:14   -2.2  05:33   12.5    0.0    0.0    6.8   41.8  15:10    120
 10    2.2   11.4  13:31   -0.4  06:49   16.1    0.0    1.3    1.6   27.4  13:42    129
 11    0.9    4.6  14:09   -0.3  22:36   17.4    0.0    1.8    1.2   14.5  01:48    100
 12    1.3    8.1  14:32   -5.2  07:11   17.0    0.0    1.0    0.7   14.5  13:44    317
 13    3.7   14.7  15:38   -5.9  07:33   14.7    0.0    0.3    1.2   16.1  23:10     60
 14    0.6    2.5  15:34   -2.3  22:46   17.8    0.0    3.8    1.2   16.1  16:40    131
 15   -1.0    4.4  15:22   -3.9  07:13   19.3    0.0    0.3    0.7   11.3  12:36    331
 16   -1.2    5.1  13:51   -5.4  03:50   19.6    0.0    0.0    1.0   17.7  14:20     98
 17   -0.8    6.3  12:41   -7.7  03:25   19.2    0.0    0.0    1.5   17.7  14:05    280
 18   -2.2    2.2  14:13   -7.2  23:49   20.5    0.0    0.3    1.8   24.1  12:51     55
 19   -1.3    7.6  15:17  -10.6  07:36   19.6    0.0    0.0    1.2   14.5  11:21     96
 20   -1.2    4.3  15:21   -5.5  23:14   19.6    0.0    0.0    1.1   19.3  15:14     62
 21   -0.8    7.3  15:06   -6.4  04:23   19.1    0.0    1.0    1.3   22.5  15:45    133
 22    1.4   10.9  15:13   -7.7  07:40   16.9    0.0    0.0    0.8   16.1  13:39    356
 23    2.5   13.3  13:57   -6.6  07:44   15.8    0.0    0.0    0.9   16.1  13:23     99
 24    2.9   14.1  14:46   -7.0  06:54   15.4    0.0    0.0    0.7   16.1  14:18     35
 25    3.8   13.8  15:10   -6.3  07:08   14.6    0.0    0.0    0.6   11.3  13:30    269
 26    3.1   12.7  14:18   -5.6  07:28   15.2    0.0    0.0    0.9   11.3  13:35    114
 27    2.2   12.3  13:35   -7.5  07:20   16.2    0.0    0.0    1.1   17.7  14:05    116
 28    4.4   12.9  12:33   -3.3  07:50   13.9    0.0    0.0    2.5   33.8  12:00    146
 29    1.1   10.7  11:40   -4.3  06:45   17.3    0.0    0.0    1.5   27.4  10:05    199
 30   -2.0    2.2  12:37   -4.8  06:47   20.4    0.0    3.6    0.6   14.5  13:51    298
 31   -3.3   -0.9  13:42   -5.2  07:25   21.6    0.0    0.0    1.0   14.5  13:45     30
---------------------------------------------------------------------------------------
       1.7   20.3     01  -10.6     19  514.5    0.0   15.5    1.4   41.8     09    112
    
