                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2012


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    2.0   12.6  14:19   -5.8  07:08   16.3    0.0    0.0    0.9   19.3  15:27    114
 02    1.0    9.7  14:06   -6.0  07:49   17.4    0.0    0.0    0.8   14.5  13:36    268
 03   -0.2    9.6  14:44   -8.4  07:56   18.6    0.0    0.0    1.2   16.1  16:30    308
 04   -0.4    8.4  12:44   -7.6  05:03   18.7    0.0    0.0    1.0   20.9  13:50    104
 05    3.6    9.9  13:47   -2.3  23:20   14.7    0.0    0.0    1.0   14.5  11:52    132
 06    2.1   11.7  13:46   -6.1  07:02   16.2    0.0    0.0    0.9   12.9  12:25    126
 07    2.2   14.0  13:16   -7.6  06:33   16.1    0.0    0.0    1.0   19.3  14:32    109
 08    1.1   12.6  14:39   -6.8  05:58   17.2    0.0    0.0    0.6    9.7  13:59     54
 09    3.4   12.9  13:05   -5.6  07:05   14.9    0.0    0.0    2.2   22.5  11:19    289
 10   -4.3   -0.7  04:45   -9.9  00:00   22.6    0.0    0.0    1.5   22.5  13:54    125
 11  -11.4   -8.7  08:15  -13.7  23:18   29.7    0.0    0.0    2.9   24.1  12:26     74
 12  -10.4   -2.8  14:41  -18.8  07:09   28.7    0.0    0.5    0.4    9.7  12:18    283
 13   -7.6    0.8  12:51  -15.4  02:01   25.9    0.0    0.0    0.9   16.1  13:20    269
 14   -5.0    4.4  13:26  -14.3  05:57   23.4    0.0    1.0    0.7   14.5  14:30     94
 15   -2.0    5.3  12:25   -8.4  23:50   20.3    0.0    0.5    0.7   12.9  11:40    249
 16   -2.9    7.4  14:11  -12.7  06:41   21.3    0.0    0.3    0.6   12.9  23:55    287
 17    1.5    8.9  13:45   -3.7  00:00   16.8    0.0    0.3    1.1   17.7  00:38    355
 18   -0.2    5.3  15:05   -5.9  04:09   18.6    0.0    0.0    1.1   14.5  11:13    110
 19    0.2    7.1  14:13   -5.8  23:39   18.1    0.0    0.0    1.1   22.5  11:23     58
 20   -1.7    8.0  13:25   -9.7  06:19   20.0    0.0    0.0    0.5    8.0  09:00    300
 21   -0.0    9.5  14:10   -9.7  07:18   18.4    0.0    0.0    1.4   24.1  14:45     89
 22    0.9    6.2  13:04   -5.7  23:53   17.4    0.0    0.0    2.2   22.5  04:35    299
 23   -3.3    5.9  14:46  -11.3  07:36   21.6    0.0    0.0    0.6    9.7  11:44    139
 24   -2.0    8.9  13:26  -11.4  07:19   20.4    0.0    0.0    1.1   20.9  15:08    112
 25    0.1    8.4  12:28   -9.1  07:42   18.3    0.0    0.0    2.0   29.0  12:07    102
 26   -2.7    3.1  13:04  -10.0  00:00   21.0    0.0    0.0    1.2   17.7  12:13    272
 27   -4.7    6.7  12:48  -15.0  07:58   23.0    0.0    0.0    1.2   20.9  12:55    111
 28   -4.8    5.4  13:54  -12.7  05:58   23.1    0.0    0.0    0.5   16.1  14:47    329
 29   -1.1    8.6  12:19   -9.9  05:15   19.5    0.0    0.0    1.2   16.1  10:50    126
 30   -0.6    7.8  14:42   -8.4  07:11   18.9    0.0    0.0    1.2   16.1  12:08     24
---------------------------------------------------------------------------------------
      -1.6   14.0     07  -18.8     12  597.2    0.0    2.5    1.1   29.0     25     80
    
