                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2014


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.3   20.3  13:19    4.8  06:15    6.0    0.0    0.0    2.9   40.2  15:26    114
 02   13.7   24.4  15:12    1.2  06:15    4.6    0.0    0.0    3.4   24.1  17:58    100
 03   15.9   26.6  14:05    3.7  06:17    2.4    0.0    0.0    3.3   29.0  16:10     80
 04   13.9   24.6  13:07    7.5  05:03    4.4    0.0    1.5    1.8   35.4  14:30    111
 05   14.1   22.2  14:04    9.2  23:59    4.2    0.0    1.0    2.2   37.0  15:19     99
 06   14.3   23.6  14:37    6.6  06:35    4.0    0.0    0.5    1.6   22.5  15:11    322
 07   12.3   22.3  15:55    4.1  06:11    6.0    0.0    0.0    1.6   20.9  18:21     71
 08   13.1   24.3  13:55    2.4  05:27    5.3    0.0    0.0    1.8   20.9  16:03    357
 09   13.1   24.0  13:48    4.1  06:08    5.2    0.0    0.0    1.7   22.5  13:38    279
 10   13.5   23.9  12:30    4.3  05:50    4.8    0.0    0.0    2.9   24.1  13:30    101
 11   14.5   25.0  15:06    2.7  06:29    3.8    0.0    0.0    3.4   25.7  18:50    107
 12   16.2   26.9  15:40    3.6  06:23    2.1    0.0    0.0    3.1   29.0  19:08    110
 13   15.7   25.3  14:35    7.8  04:13    2.6    0.0    1.5    3.3   38.6  17:11    123
 14   14.7   21.9  12:51    9.4  23:56    3.7    0.0    0.0    1.1   22.5  13:17     30
 15   13.1   25.3  15:43    5.2  04:50    5.2    0.0    0.0    1.5   20.9  18:16     10
 16   14.7   25.9  16:35    2.9  06:43    3.6    0.0    0.0    1.3   17.7  12:12    342
 17   15.7   26.6  13:49    3.2  06:13    2.6    0.0    0.0    1.3   20.9  12:00    316
 18   14.5   25.3  14:25    3.7  06:41    3.8    0.0    0.0    1.3   25.7  15:20     61
 19   12.4   23.8  12:52    4.0  06:14    5.9    0.0    0.5    3.2   37.0  18:15    122
 20   13.6   23.0  15:03    8.1  03:35    4.7    0.0    0.3    1.3   29.0  18:32    221
 21   14.1   22.9  14:59    4.6  06:51    4.2    0.0    0.0    1.4   17.7  15:43    294
 22   12.8   17.6  13:14    8.5  06:55    5.5    0.0    5.8    0.9   16.1  14:12    305
 23    9.6   15.5  11:34    5.3  23:30    8.7    0.0    1.8    1.4   17.7  15:56     95
 24   10.3   20.6  15:04   -0.3  06:23    8.0    0.0    0.3    1.5   25.7  12:19     24
 25   12.1   20.5  16:12    4.4  04:27    6.2    0.0    1.8    2.4   20.9  16:21    112
 26   11.0   23.4  13:37    3.6  06:47    7.3    0.0    5.1    2.5   33.8  15:21    103
 27   10.2   16.8  12:32    6.4  22:08    8.1    0.0    3.3    1.2   22.5  13:05     82
 28    8.7   12.7  18:04    6.3  22:21    9.6    0.0    1.5    0.4   11.3  12:32    125
 29    8.9   17.6  12:44    4.1  02:15    9.4    0.0    3.8    1.8   25.7  16:42    108
 30   10.3   22.7  14:13    0.8  06:18    8.0    0.0    1.0    1.0   24.1  14:20     88
 31   10.5   17.4  13:24    4.2  04:50    7.8    0.0    1.5    1.9   22.5  12:22    191
---------------------------------------------------------------------------------------
      12.9   26.9     12   -0.3     24  168.2    0.0   31.2    2.0   40.2     01    101
    
