                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2014


NAME: Granby Ranch, Granby, Colorado                  
ELEV: 2548 meters    LAT: 40-03.06 N    LONG: 105-54.48 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   -0.6    3.8  12:27   -3.3  05:11   18.9    0.0    0.0    0.8   20.9  15:55     99
 02   -0.3    5.7  12:07   -7.4  23:19   18.6    0.0    0.0    2.2   19.3  04:49     66
 03   -2.1    4.5  14:23   -8.1  01:48   20.4    0.0    0.0    1.3   20.9  14:20     99
 04   -0.4    3.7  14:37   -4.3  05:15   18.8    0.0    0.0    0.1    8.0  20:06    238
 05   -0.5    5.8  12:08   -6.8  23:43   18.8    0.0    0.0    0.6   17.7  12:39    194
 06   -2.8    3.0  14:58   -8.6  07:41   21.2    0.0    0.0    0.2   14.5  19:41    134
 07   -1.4    3.7  14:37   -8.1  23:51   19.8    0.0    0.0    0.4   12.9  14:21    283
 08   -6.7    1.0  13:35  -11.5  07:36   25.0    0.0    0.0    0.0    4.8  11:05    184
 09   -8.6   -0.9  13:53  -15.8  07:17   27.0    0.0    0.0    0.2    8.0  10:56    283
 10   -6.7    2.0  14:07  -14.6  07:54   25.1    0.0    0.0    0.2    8.0  13:28    297
 11   -5.6    3.8  15:15  -13.5  07:21   23.9    0.0    0.0    0.1    4.8  13:20    102
 12   -3.5    4.1  14:08  -12.2  07:31   21.9    0.0    0.0    0.2    9.7  20:30    259
 13   -1.9    3.2  14:04   -5.2  21:15   20.2    0.0    0.0    0.2    9.7  11:26    258
 14   -4.6   -2.7  12:58   -6.8  23:52   22.9    0.0    0.0    0.0    1.6  00:13    113
 15   -9.1   -4.9  15:06  -17.9  23:44   27.4    0.0    0.0    0.3   14.5  14:39    132
 16  -12.6   -5.8  13:56  -20.1  03:04   30.9    0.0    0.0    0.1    8.0  19:53    136
 17   -7.1   -2.6  15:32  -11.4  03:43   25.4    0.0    0.0    0.1    6.4  01:40    296
 18   -6.9   -2.6  12:17  -10.7  23:29   25.2    0.0    0.0    0.1    8.0  16:57    264
 19   -8.9   -3.1  12:52  -13.0  23:58   27.2    0.0    0.0    0.3    9.7  11:19    341
 20   -9.2   -4.4  15:08  -14.6  01:23   27.5    0.0    0.0    0.1    8.0  09:14     15
 21   -3.6   -1.5  20:04   -5.7  00:21   21.9    0.0    0.0    0.7   33.8  12:30     77
 22   -6.9   -3.8  12:42  -11.9  23:05   25.3    0.0    0.0    0.0    0.0  00:00     90
 23  -10.5   -7.0  13:07  -14.7  23:57   28.8    0.0    0.0    0.0    0.0  00:00     90
 24  -15.3   -9.5  13:29  -21.3  07:41   33.7    0.0    0.0    0.0    0.0  00:00     90
 25   -9.3   -4.2  10:34  -14.3  00:00   27.6    0.0    0.0    2.0   57.9  20:05    115
 26  -12.9   -8.6  11:42  -16.7  07:00   31.3    0.0    0.0    0.1    9.7  22:00    130
 27  -15.7  -11.6  14:45  -20.2  23:59   34.1    0.0    0.0    0.0    6.4  19:58    264
 28  -14.5   -9.0  12:42  -21.7  01:15   32.8    0.0    0.0    0.0    4.8  05:32    191
 29  -13.6   -9.8  13:29  -16.7  08:30   31.9    0.0    0.0    2.8   43.5  16:06    105
 30  -18.4  -14.9  00:06  -23.4  22:43   36.7    0.0    0.0    0.4   19.3  00:00     56
 31  -23.3  -18.4  15:46  -28.7  07:56   41.6    0.0    0.0    0.1    6.4  17:23    253
---------------------------------------------------------------------------------------
      -7.9    5.8     05  -28.7     31  811.9    0.0    0.0    0.4   57.9     25     99
    
